Year,Name,Killed
2013,Alabama,3
2014,Alabama,1
2015,Alabama,4
2014,Alaska,0
2013,Arizona,3
2014,Arizona,1
2015,Arizona,15
2014,Arkansas,5
2015,Arkansas,2
2013,California,45
2014,California,46
2015,California,38
2013,Colorado,0
2014,Colorado,1
2015,Colorado,4
2013,Connecticut,2
2014,Connecticut,0
2015,Connecticut,1
2013,Delaware,3
2015,Delaware,0
2013,District of Columbia,12
2014,District of Columbia,0
2015,District of Columbia,1
2013,Florida,22
2014,Florida,26
2015,Florida,18
2013,Georgia,5
2014,Georgia,18
2015,Georgia,27
2013,Illinois,14
2014,Illinois,16
2015,Illinois,16
2013,Indiana,8
2014,Indiana,7
2015,Indiana,10
2015,Iowa,1
2013,Kansas,7
2015,Kansas,2
2013,Kentucky,4
2014,Kentucky,6
2015,Kentucky,2
2013,Louisiana,8
2014,Louisiana,5
2015,Louisiana,11
2014,Maine,5
2013,Maryland,4
2014,Maryland,0
2015,Maryland,11
2014,Massachusetts,0
2015,Massachusetts,3
2013,Michigan,9
2014,Michigan,10
2015,Michigan,3
2013,Minnesota,3
2014,Minnesota,1
2015,Minnesota,6
2013,Mississippi,2
2014,Mississippi,5
2015,Mississippi,3
2013,Missouri,8
2014,Missouri,7
2015,Missouri,12
2015,Montana,5
2013,Nebraska,0
2015,Nebraska,5
2013,Nevada,0
2014,Nevada,1
2015,Nevada,1
2013,New Jersey,7
2014,New Jersey,4
2015,New Jersey,5
2013,New Mexico,5
2014,New Mexico,1
2015,New Mexico,4
2013,New York,14
2014,New York,9
2015,New York,19
2013,North Carolina,3
2014,North Carolina,6
2015,North Carolina,7
2013,Ohio,6
2014,Ohio,10
2015,Ohio,19
2013,Oklahoma,14
2014,Oklahoma,2
2015,Oklahoma,1
2014,Oregon,1
2015,Oregon,11
2013,Pennsylvania,8
2014,Pennsylvania,4
2015,Pennsylvania,7
2013,Rhode Island,1
2014,Rhode Island,0
2015,Rhode Island,0
2013,South Carolina,11
2014,South Carolina,10
2015,South Carolina,20
2014,South Dakota,4
2015,South Dakota,6
2013,Tennessee,14
2014,Tennessee,8
2015,Tennessee,14
2013,Texas,24
2014,Texas,25
2015,Texas,41
2013,Utah,4
2014,Utah,5
2015,Vermont,4
2013,Virginia,3
2014,Virginia,12
2015,Virginia,2
2013,Washington,8
2014,Washington,6
2015,Washington,0
2013,West Virginia,4
2013,Wisconsin,0
2014,Wisconsin,1
2015,Wisconsin,6
